factor,view,base,family
csz_stoch_21_lag2,cross-sectional zscore,stoch_21_lag2,oscillator
volskew_72,raw,volskew_72,volatility
upratio_26,raw,upratio_26,other
csr_turnover_z_6,cross-sectional rank,turnover_z_6,other
willr_55,raw,willr_55,oscillator
csr_ret_oi_corr_13,cross-sectional rank,ret_oi_corr_13,other
tsz_ret_oi_corr_13,time-series zscore,ret_oi_corr_13,other
tsz_mom_x_volz_16,time-series zscore,mom_x_volz_16,momentum
cpos_lag2,raw,cpos_lag2,candle-geom
csz_rsi_21_lag2,cross-sectional zscore,rsi_21_lag2,oscillator
vwap_dev,raw,vwap_dev,volume/price
drawdn_26,raw,drawdn_26,range
csr_vwap_macd_5_21,cross-sectional rank,vwap_macd_5_21,volume/price
ret_ac1_10,raw,ret_ac1_10,other
csr_maxret_5,cross-sectional rank,maxret_5,other
maxret_26,raw,maxret_26,other
tsz_mom_x_volz_21,time-series zscore,mom_x_volz_21,momentum
maxret_72,raw,maxret_72,other
effratio_16,raw,effratio_16,other
dvol_42,raw,dvol_42,other
effratio_10,raw,effratio_10,other
ret_ac1_8,raw,ret_ac1_8,other
tsz_mom_34_lag5,time-series zscore,mom_34_lag5,momentum
csz_oimom_26,cross-sectional zscore,oimom_26,open-interest
csr_drawup_21,cross-sectional rank,drawup_21,range
drawdn_42,raw,drawdn_42,range
maxret_42,raw,maxret_42,other
csz_mom_x_volz_34,cross-sectional zscore,mom_x_volz_34,momentum
effratio_21,raw,effratio_21,other
rv_x_volz_13,raw,rv_x_volz_13,volatility
tsz_drawup_13,time-series zscore,drawup_13,range
csr_ema_diff_8_34,cross-sectional rank,ema_diff_8_34,trend
csr_minret_5,cross-sectional rank,minret_5,other
csr_ret_oi_corr_26,cross-sectional rank,ret_oi_corr_26,other
tsz_mom_x_volz_4,time-series zscore,mom_x_volz_4,momentum
ret_ac1_55,raw,ret_ac1_55,other
willr_26,raw,willr_26,oscillator
mom_x_oimom_26,raw,mom_x_oimom_26,momentum
body_55,raw,body_55,candle-geom
csz_drawdn_72,cross-sectional zscore,drawdn_72,range
cci_21_lag1,raw,cci_21_lag1,oscillator
ret_ac1_16,raw,ret_ac1_16,other
ema_diff_13_55,raw,ema_diff_13_55,trend
csz_ema_diff_8_34,cross-sectional zscore,ema_diff_8_34,trend
mom_13_lag5,raw,mom_13_lag5,momentum
bollz_21,raw,bollz_21,oscillator/mean-rev
sharpe_34,raw,sharpe_34,momentum/risk-adj
willr_34,raw,willr_34,oscillator
csz_cci_21_lag2,cross-sectional zscore,cci_21_lag2,oscillator
csr_rv_x_volz_4,cross-sectional rank,rv_x_volz_4,volatility
turnover_z_55,raw,turnover_z_55,other
csz_drawup_21,cross-sectional zscore,drawup_21,range
tsz_roc_10,time-series zscore,roc_10,momentum
minret_4,raw,minret_4,other
csr_cpos_8,cross-sectional rank,cpos_8,candle-geom
tr_dir_10,raw,tr_dir_10,other
vol_flow_26,raw,vol_flow_26,volatility
csr_mom_x_volz_10,cross-sectional rank,mom_x_volz_10,momentum
updn_vol_ratio_8,raw,updn_vol_ratio_8,other
ret_ac1_26,raw,ret_ac1_26,other
rv_x_volz_26,raw,rv_x_volz_26,volatility
tr_dir_26,raw,tr_dir_26,other
dvol_10,raw,dvol_10,other
willr_42,raw,willr_42,oscillator
maxret_34,raw,maxret_34,other
tsz_bop_21_lag5,time-series zscore,bop_21_lag5,candle-geom
csr_volskew_10,cross-sectional rank,volskew_10,volatility
csz_mom_x_volz_8,cross-sectional zscore,mom_x_volz_8,momentum
tsz_tr_dir_8,time-series zscore,tr_dir_8,other
mfi_26,raw,mfi_26,other
csz_illiq_55,cross-sectional zscore,illiq_55,other
csz_mfi_6,cross-sectional zscore,mfi_6,other
effratio_72,raw,effratio_72,other
tsz_rv_x_volz_8,time-series zscore,rv_x_volz_8,volatility
tsz_mom_x_volz_8,time-series zscore,mom_x_volz_8,momentum
tsz_rv_x_volz_4,time-series zscore,rv_x_volz_4,volatility
oimom_26,raw,oimom_26,open-interest
mom_x_oimom_55,raw,mom_x_oimom_55,momentum
csr_bop_21_lag3,cross-sectional rank,bop_21_lag3,candle-geom
tsz_stoch_21,time-series zscore,stoch_21,oscillator
rsi_21_lag3,raw,rsi_21_lag3,oscillator
drawup_26,raw,drawup_26,range
bop_21_lag1,raw,bop_21_lag1,candle-geom
maxret_55,raw,maxret_55,other
mom_26,raw,mom_26,momentum
tsz_mfi_6,time-series zscore,mfi_6,other
tsz_rsi_10,time-series zscore,rsi_10,oscillator
csr_dvol_6,cross-sectional rank,dvol_6,other
vwap_dev_16,raw,vwap_dev_16,volume/price
csz_rv_x_volz_8,cross-sectional zscore,rv_x_volz_8,volatility
csz_tr_dir_34,cross-sectional zscore,tr_dir_34,other
csz_mfi_21_lag5,cross-sectional zscore,mfi_21_lag5,other
ret_ac1_13,raw,ret_ac1_13,other
tsz_mom_13_lag2,time-series zscore,mom_13_lag2,momentum
csr_mfi_34,cross-sectional rank,mfi_34,other
ret_ac1_21,raw,ret_ac1_21,other
csz_dvol_8,cross-sectional zscore,dvol_8,other
csz_roc_13,cross-sectional zscore,roc_13,momentum
tr_dir_55,raw,tr_dir_55,other
tsz_mom_x_volz_10,time-series zscore,mom_x_volz_10,momentum
csz_vol_flow_8,cross-sectional zscore,vol_flow_8,volatility
px_sma_42,raw,px_sma_42,trend
cpos_lag3,raw,cpos_lag3,candle-geom
csr_oipx_div_34,cross-sectional rank,oipx_div_34,open-interest
csr_ret_oi_corr_34,cross-sectional rank,ret_oi_corr_34,other
tsz_mom_accel,time-series zscore,mom_accel,momentum
pvcorr_34_lag1,raw,pvcorr_34_lag1,other
csr_turnover_z_42,cross-sectional rank,turnover_z_42,other
csz_oimom_34,cross-sectional zscore,oimom_34,open-interest
tsz_mom_x_oimom_8,time-series zscore,mom_x_oimom_8,momentum
csz_bop_21_lag2,cross-sectional zscore,bop_21_lag2,candle-geom
csz_mfi_21_lag3,cross-sectional zscore,mfi_21_lag3,other
csz_vwap_macd_10_42,cross-sectional zscore,vwap_macd_10_42,volume/price
csr_vwap_macd_13_55,cross-sectional rank,vwap_macd_13_55,volume/price
csr_upratio_8,cross-sectional rank,upratio_8,other
csz_body_pos_inter_13,cross-sectional zscore,body_pos_inter_13,candle-geom
csz_drawdn_21,cross-sectional zscore,drawdn_21,range
csr_ret_oi_corr_6,cross-sectional rank,ret_oi_corr_6,other
tsz_ema_diff_10_42,time-series zscore,ema_diff_10_42,trend
mom_x_oimom_21,raw,mom_x_oimom_21,momentum
updn_vol_ratio_10,raw,updn_vol_ratio_10,other
csz_dvol_72,cross-sectional zscore,dvol_72,other
volmom_42,raw,volmom_42,volatility
sharpe_26,raw,sharpe_26,momentum/risk-adj
csz_mom_x_volz_6,cross-sectional zscore,mom_x_volz_6,momentum
upratio_34,raw,upratio_34,other
csz_oipx_div_34,cross-sectional zscore,oipx_div_34,open-interest
csz_turnover_z_72,cross-sectional zscore,turnover_z_72,other
oimom_4,raw,oimom_4,open-interest
tsz_maxret_4,time-series zscore,maxret_4,other
tsz_ema_diff_8_34,time-series zscore,ema_diff_8_34,trend
ret_ac1_42,raw,ret_ac1_42,other
cmo_42,raw,cmo_42,oscillator
csz_body_pos_inter_16,cross-sectional zscore,body_pos_inter_16,candle-geom
csz_range_55,cross-sectional zscore,range_55,volatility/range
csz_vwap_macd_16_72,cross-sectional zscore,vwap_macd_16_72,volume/price
csz_stoch_21_lag1,cross-sectional zscore,stoch_21_lag1,oscillator
csr_mom_x_volz_4,cross-sectional rank,mom_x_volz_4,momentum
mom_42,raw,mom_42,momentum
csr_rsi_21_lag1,cross-sectional rank,rsi_21_lag1,oscillator
mom_x_oimom_4,raw,mom_x_oimom_4,momentum
csr_oimom_26,cross-sectional rank,oimom_26,open-interest
csz_oi_chg,cross-sectional zscore,oi_chg,open-interest
csz_illiq_42,cross-sectional zscore,illiq_42,other
csz_ema_diff_16_72,cross-sectional zscore,ema_diff_16_72,trend
csr_mom_x_volz_34,cross-sectional rank,mom_x_volz_34,momentum
csr_vwap_dev_8,cross-sectional rank,vwap_dev_8,volume/price
csr_mom_13_lag1,cross-sectional rank,mom_13_lag1,momentum
csr_mom_x_oimom_10,cross-sectional rank,mom_x_oimom_10,momentum
mom_x_volz_6,raw,mom_x_volz_6,momentum
mom_13_lag1,raw,mom_13_lag1,momentum
csz_vol_flow_10,cross-sectional zscore,vol_flow_10,volatility
csz_tr_dir_42,cross-sectional zscore,tr_dir_42,other
volz_21_lag2,raw,volz_21_lag2,volatility
willr_16,raw,willr_16,oscillator
csr_oipx_div_21,cross-sectional rank,oipx_div_21,open-interest
turnover_z_26,raw,turnover_z_26,other
ret_ac1_4,raw,ret_ac1_4,other
oimom_8,raw,oimom_8,open-interest
csr_bop_21_lag5,cross-sectional rank,bop_21_lag5,candle-geom
drawdn_16,raw,drawdn_16,range
csz_updn_vol_ratio_13,cross-sectional zscore,updn_vol_ratio_13,other
vol_regime,raw,vol_regime,volatility
oipx_div_8,raw,oipx_div_8,open-interest
ret_ac2_10,raw,ret_ac2_10,other
csz_oiz_42,cross-sectional zscore,oiz_42,open-interest
csr_vwap_macd_3_13,cross-sectional rank,vwap_macd_3_13,volume/price
tsz_upratio_8,time-series zscore,upratio_8,other
csz_mfi_72,cross-sectional zscore,mfi_72,other
csz_vwap_macd_13_55,cross-sectional zscore,vwap_macd_13_55,volume/price
amtmom_42,raw,amtmom_42,other
csz_vwap_macd_8_34,cross-sectional zscore,vwap_macd_8_34,volume/price
